DESCRIPTION,LOCATION,PRICE
3 Bedroom Flat & Apartment,"Awofeso , Shomolu, Ikorodu Road","N800,000 per year"
4 Bedroom Flat & Apartment,Ikoyi,"N16,000,000 per year"
3 Bedroom Flat & Apartment,"Banana Island Road, Ikoyi, Banana Island, Ikoyi","N15,000,000 per year"
3 Bedroom Flat & Apartment,"Magbon Close, Ikoyi","N8,000,000 per year"
4 Bedroom Terrace,Ikoyi,"N8,000,000 per year"
3 Bedroom Flat & Apartment,Ikoyi,"N10,000,000 per year"
3 Bedroom Flat & Apartment,Ikoyi,"N50,000,000 per year"
2 Bedroom Flat & Apartment,"Ioyi, Ikoyi","N7,000,000 per year"
4 Bedroom Terrace,Ikoyi,"N18,000,000 per year"
3 Bedroom Terrace,"Off Abia Street Banana Island, Banana Island, Ikoyi","N13,000,000 per year"
3 Bedroom Flat & Apartment,"Lawrence Street , Ikoyi","N10,500,000 per year"
3 Bedroom Flat & Apartment,"Old Ikoyi, Ikoyi","N12,000,000 per year"
4 Bedroom Terrace,"First Avenue, Banana Island, Ikoyi","N25,000,000 per year"
5 Bedroom Commercial Property,Victoria Island,"N10,000,000 per year"
Office,"Churchgate Street , Victoria Island","N16,500,000 per yearN150,000  /m2"
4 Bedroom House,"Oniru, Victoria Island","N10,000,000 per year"
2 Bedroom Flat & Apartment,"Ikate, Ikate Elegushi, Lekki","N4,000,000 per year"
7 Bedroom Duplex,"Lekki Phase 1, Lekki","N11,000,000 per year"
4 Bedroom Duplex,"Orchid Road, Lafiaji, Lekki","N5,000,000 per year"
4 Bedroom Terrace,"Spring Gardens, Lafiaji, Lekki","N4,000,000 per year"
4 Bedroom Duplex,"Silver Spring Estate, Agungi, Lekki","N4,500,000 per year"
3 Bedroom Flat & Apartment,"Lekki Phase 1, Lekki","N4,000,000 per year"
4 Bedroom House,"Osapa London, Osapa, Lekki","N6,000,000 per year"
2 Bedroom Flat & Apartment,"Lekki Phase 1, Lekki","N3,000,000 per year"
4 Bedroom Duplex,"By Orchid Hotel, Lekki Phase 2, Lekki","N7,500,000 per year"
4 Bedroom Townhouse,"Oniru, Victoria Island","N5,000,000 per year"
2 Bedroom Flat & Apartment,"V.I, Victoria Island","N3,500,000 per year"
5 Bedroom Duplex,"Ikeja G.R.A, Ikeja","N10,000,000 per year"
3 Bedroom Townhouse,"Magodo G.R.A Phase 1 Estate, Isheri , Magodo Isheri, Ikeja","N3,000,000 per year"
3 Bedroom Flat & Apartment,Ikoyi,"N11,000,000 per year"
3 Bedroom Flat & Apartment,"Pinnock Beach Estate , Osapa, Lekki","N48,000,000 per year"
4 Bedroom Terrace,"Oral Estate, Lekki Expressway, Lekki","N4,000,000 per year"
5 Bedroom House,"Chevy View Estate, Chevron Drive, Lekki","N6,500,000 per year"
4 Bedroom Terrace,"Oral Estate, Lekki Expressway, Lekki","N4,000,000 per year"
4 Bedroom Duplex,"Chevron , Chevron Drive, Lekki","N5,500,000 per year"
4 Bedroom Duplex,"Ikota, Lekki","N4,500,000 per year"
2 Bedroom Terrace,"Lekki Phase 1, Lekki","N2,700,000 per year"
5 Bedroom Duplex,"Chevron , Ikota, Lekki","N6,000,000 per year"
4 Bedroom Duplex,"Agungi, Lekki","N6,000,000 per year"
5 Bedroom Duplex,"Osapa, Lekki","N8,000,000 per year"
6 Bedroom House,"G.R.A,  Ikeja G.R.A, Ikeja","N20,000,000 per year"
3 Bedroom Terrace,"Ikeja Gra, Ikeja , Ikeja","N6,500,000 per year"
